G,S,Lifetime,G 1-3,S 1-3,Lifetime 1-3,Chi^2,Total intensity,Chi^2 1-3,Total intensity 1-3,Mask label,FOV,Date,FastFLIM,FastFLIM 1-3,Int 570-590,Int 590-610,Int 610-638,Int 638-720,Int 1/(1-4),Int 2/(1-4),Int 3/(1-4),Int 4/(1-4)
0.446843944,0.494129417,2.327881705,0.000800403,2.154155066,0.444622349,0.492075938,7259628,2.315698441,7259628,24,mix,240609,7259628,2.164592741,1362719,2024547,1898775,1973587,0.18771196,0.278877513,0.261552658,0.271857869
0.289197153,0.476323194,3.464646558,0.000499557,2.72034158,0.285626667,0.474857513,3597897,3.479320845,3597897,25,mix,240609,3597897,2.734688432,1474258,696496,662826,764317,0.409755477,0.193584197,0.184225952,0.212434375
0.238245959,0.462237589,4.004347132,0.00042537,2.914840639,0.235383547,0.4610267,3801006,4.026062185,3801006,26,mix,240609,3801006,2.926669312,1179180,858232,871900,891694,0.310228397,0.225790751,0.229386641,0.23459421
0.239686807,0.462926819,4.005312078,0.000346472,2.90954851,0.236397763,0.46137707,4910060,4.023659801,4910060,27,mix,240609,4910060,2.923119769,1492894,1110568,1129721,1176877,0.304048016,0.226182165,0.230082932,0.239686888
0.244360726,0.464218329,3.923294377,0.000206428,2.889909932,0.240983215,0.462670204,11100768,3.946775455,11100768,28,mix,240609,11100768,2.904102238,3249355,2520656,2569983,2760774,0.292714432,0.227070415,0.231513982,0.248701171
0.245506072,0.464474164,3.905387603,0.000465006,2.88578386,0.242277226,0.463021028,5387116,3.926401159,5387116,29,mix,240609,5387116,2.899058059,1624930,1217321,1242037,1302828,0.301632636,0.22596896,0.230556944,0.24184146
0.23828431,0.462223693,3.988643919,0.000609915,2.91306641,0.235340547,0.460783602,3406359,4.007492842,3406359,30,mix,240609,3406359,2.925687063,1052706,756319,783848,813486,0.309041413,0.2220315,0.23011315,0.238813936
0.24216586,0.465024439,3.976309541,0.000530928,2.888230016,0.238167153,0.461879988,2183393,3.997717916,2183393,31,mix,240609,2183393,2.915315961,680109,482666,501346,519272,0.311491793,0.221062356,0.229617847,0.237828004
0.44638702,0.494813727,2.342507729,0.000707581,2.155742917,0.443330697,0.493225981,3949678,2.339402419,3949678,32,mix,240609,3949678,2.168460311,747883,1159919,1035161,1006715,0.189352904,0.29367432,0.262087441,0.254885335
0.449269648,0.494590188,2.321278926,0.001115101,2.145773135,0.446215137,0.493311485,1684381,2.320954993,1684381,33,mix,240609,1684381,2.157762264,334977,502206,436935,410263,0.198872464,0.298154634,0.2594039,0.243569003
0.446972438,0.494279809,2.333091727,0.000695891,2.154552662,0.444554467,0.492640943,6956619,2.324584859,6956619,34,mix,240609,6956619,2.165090001,1351907,1995204,1811055,1798453,0.194333914,0.286806565,0.260335516,0.258524004
0.274263979,0.472785245,3.605639774,0.001318931,2.776045522,0.271372567,0.472154027,1036723,3.638269603,1036723,35,mix,240609,1036723,2.786370959,446531,188277,183469,218446,0.430713894,0.181607816,0.176970126,0.210708164
0.245595046,0.465113589,3.940128523,0.000347998,2.885401761,0.242137997,0.463858114,4706612,3.979313686,4706612,36,mix,240609,4706612,2.899424854,1397907,1077145,1089774,1141786,0.297009186,0.228857828,0.231541075,0.242591911
0.447580813,0.494422208,2.337263863,0.000675777,2.152689512,0.444087379,0.492844492,2277108,2.337407112,2277108,37,mix,240609,2277108,2.167436422,427055,665577,597925,586551,0.187542708,0.292290484,0.26258087,0.257585938
0.274603285,0.472559268,3.590510665,0.00135353,2.774540587,0.271198583,0.471295211,1220277,3.616316204,1220277,38,mix,240609,1220277,2.788167033,535081,221046,213429,250721,0.438491424,0.181144117,0.174902092,0.205462366
0.275599668,0.473825064,3.608544691,0.002528676,2.763948222,0.272471143,0.472434767,572101,3.61458586,572101,39,mix,240609,572101,2.776305088,261894,104116,97935,108156,0.457775812,0.181988845,0.171184808,0.189050535
0.241702565,0.463680018,3.973717618,0.000619584,2.900785225,0.239309759,0.464446451,2696085,4.017873,2696085,40,mix,240609,2696085,2.899581194,808439,598619,623734,665293,0.299856644,0.222032688,0.231348047,0.246762621
0.284217414,0.474652924,3.495431509,0.00093018,2.739311236,0.281139396,0.473734992,1348795,3.530035805,1348795,41,mix,240609,1348795,2.752136076,584302,254476,239679,270338,0.43320297,0.188669145,0.177698612,0.200429272
0.449922331,0.493943536,2.312265116,0.001435056,2.144464048,0.446661231,0.493127473,894848,2.321989959,894848,42,mix,240609,894848,2.157036965,189513,266241,228037,211057,0.211782336,0.297526507,0.254833223,0.235857933
0.297136517,0.475208652,3.298112985,0.001616018,2.694424358,0.292369597,0.473920167,866343,3.335507582,866343,43,mix,240609,866343,2.712636434,364300,167982,157589,176472,0.420503196,0.193897798,0.181901395,0.203697612
0.236876685,0.462153293,4.038745465,0.000685743,2.920271728,0.233818511,0.461218815,2458297,4.076513908,2458297,44,mix,240609,2458297,2.932129747,764860,544731,565113,583593,0.31113409,0.221588767,0.229879872,0.237397271
0.286568047,0.474961147,3.462048599,0.001312998,2.731146564,0.282900697,0.473609901,831391,3.489298441,831391,45,mix,240609,831391,2.745951188,358423,156454,147332,169182,0.431112437,0.188183418,0.177211444,0.203492701
0.447187779,0.494998527,2.344482462,0.000601854,2.153289874,0.444279361,0.493287089,4360875,2.33749529,4360875,46,mix,240609,4360875,2.165414861,834212,1279470,1138976,1108217,0.191294637,0.293397541,0.261180612,0.254127211
0.286723493,0.476046526,3.500352651,0.000448796,2.729891552,0.28317963,0.474855791,3490259,3.527086814,3490259,47,mix,240609,3490259,2.74391956,1436772,678737,643966,730784,0.411651972,0.194466084,0.184503786,0.209378158
0.449542212,0.493555713,2.307770658,0.00080478,2.145807264,0.447543266,0.491560568,8506448,2.293760989,8506448,48,mix,240609,8506448,2.155343645,1680203,2336017,2210680,2279548,0.197521104,0.274617208,0.259882856,0.267978832
0.27789149,0.473635031,3.576728494,0.001097767,2.763096514,0.274862418,0.472104039,1487045,3.585029531,1487045,49,mix,240609,1487045,2.775878906,665097,273985,258090,289873,0.447260843,0.184247955,0.173558971,0.194932231
0.443721025,0.494222475,2.346869815,0.000752023,2.165132422,0.441210907,0.492375945,9290929,2.339022274,9290929,50,mix,240609,9290929,2.176575042,1786222,2584823,2422639,2497245,0.192254402,0.278209316,0.26075315,0.268783132
0.245547334,0.464360331,3.907969854,0.000256366,2.88639399,0.241931263,0.463106742,6791592,3.952378996,6791592,51,mix,240609,6791592,2.901057936,1946651,1540688,1584188,1720065,0.286626611,0.226852261,0.233257239,0.253263889
0.280631902,0.472302095,3.475484273,0.002776658,2.753478256,0.278607624,0.472872608,488319,3.499751515,488319,52,mix,240609,488319,2.752947348,207005,89819,86704,104791,0.423913466,0.183935092,0.177556065,0.214595377
0.452006937,0.493598658,2.292948841,0.000961883,2.137027935,0.450142819,0.491599124,8720782,2.27852134,8720782,53,mix,240609,8720782,2.145990996,1674942,2400989,2286125,2358726,0.192063281,0.275318085,0.262146789,0.270471845
